"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"50697";"RES-385094";"SM302-39498";474099;4;"Sixt";"Germany";"52";"1033.45";"2019";"1/9/2022";18;"21/8/2022";8;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;"58978";"302";"FFAR";"FFAR";"70.20";"205.23";"639.27";"Corporate-Sixt-Sixt";"Corporate";1;"BMW";"Black";"Sixt Import Rates";"IN";"124.86";"43.33"
"29292";"RES-363075";"SM002-80671";449852;5;"Online Broker";"Denmark";"56";"946.75";"2022";"2/8/2022";13;"2/7/2022";15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"9637";"2";"FFAR";"FFAR";"0.00";"0.00";"763.51";"Retail Brokers Sixt";"Retail";0;"BMW";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"38248";"RES-376659";"SM611-3817";464841;14;"Sixt";"Germany";"36";"0.00";"2019";"25/8/2022";19;"1/8/2022";22;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39477";"611";"EDMR";"EDMR";"0.00";"50.82";"847.88";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"165.31";"0.00"
"4622";"RES-349335";"NULL";102866;14;"Sixt";"Germany";"57";"0.00";"NULL";"25/6/2022";10;"2/6/2022";10;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"NULL";"802";"MDMR";"MDMR";"49.70";"0.00";"554.71";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"67565";"NULL";"SM701-18932";220624;4;"Walk in";"Serbia";"43";"0.00";"2018";"7/7/2022";21;"7/7/2022";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"15082";"701";"MTAR";"MTAR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";1;"Fiat";"White";"Walk In Rates";"IN";"NULL";"NULL"
"6182";"RES-319670";"SM312-16379";367421;10;"Sixt";"Germany";"30";"0.00";"2019";"7/6/2022";16;"4/3/2022";18;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"40768";"312";"MDMR";"MDMR";"39.70";"0.00";"541.29";"Retail Brokers Sixt";"Retail";1;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"65004";"NULL";"SM701-19623";461782;3;"Walk in";"Qatar";"21";"0.00";"2019";"26/7/2022";9;"26/7/2022";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"14494";"701";"ETAR";"ETAR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"MINI";"White";"Walk In Rates";"IN";"NULL";"NULL"
"42121";"RES-370017";"NULL";457317;7;"Sixt";"Germany";"30";"0.00";"NULL";"7/8/2022";10;"16/7/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"MDMR";"MDMR";"0.00";"0.00";"342.21";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"454";"RES-28597";"SM3MO-1347";89268;30;"Corporate";"Greece";"67";"0.00";"2017";"11/6/2022";10;"29/7/2018";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"107500";"003-MO";"CCAR";"CCAR";"0.00";"0.00";"0.00";"";"NULL";50;"Renault";"Red";"Corporate 3";"IN";"0.00";"0.00"
"20678";"RES-344333";"SM002-79000";430273;9;"Sixt";"France";"56";"0.00";"2021";"15/7/2022";11;"25/5/2022";14;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39505";"2";"CFAR";"CFMR";"100.53";"32.67";"997.59";"Retail-Sixt-Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"32802";"RES-370609";"SM003-33498";458009;5;"Sixt";"Hungary";"45";"0.00";"2019";"2/8/2022";10;"18/7/2022";7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"69128";"3";"EDMR";"EDMR";"0.00";"0.00";"492.20";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"58.75";"0.00"
"9530";"RES-386100";"SM712-18609";405687;5;"Sixt";"United Kingdom";"48";"0.00";"2019";"27/8/2022";17;"23/8/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"58756";"712";"JFAR";"JFAR";"0.00";"0.00";"296.00";"Retail-Sixt-Sixt";"Retail";1;"MINI";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"12530";"RES-333796";"SM712-17720";417407;6;"Sixt";"United Kingdom";"47";"0.00";"2019";"26/7/2022";14;"25/4/2022";9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"42360";"712";"JFAR";"JFAR";"0.00";"21.78";"963.90";"Retail-Sixt-Sixt";"Retail";0;"MINI";"White";"Sixt Import Rates";"IN";"170.87";"0.00"
"45788";"RES-379743";"SM812-6557";468415;3;"Travel Corporate Agencies";"Greece";"36";"187.13";"2019";"10/8/2022";23;"9/8/2022";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"62930";"812";"MDMR";"MDMR";"0.00";"0.00";"159.94";"Retail-Call center-Call center";"Retail";0;"Skoda";"Black";"Economy Travel Market rates ";"IN";"0.00";"0.00"
"26838";"RES-360597";"SM312-17367";447394;7;"Sixt";"Taiwan";"43";"0.00";"2017";"6/7/2022";12;"27/6/2022";12;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;"74696";"312";"CDAR";"CDAR";"0.00";"25.41";"516.81";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Grey";"Sixt Import Rates";"IN";"82.65";"107.06"
"15657";"RES-339871";"SM609-12456";426336;7;"Sixt";"Germany";"41";"0.00";"2019";"20/6/2022";9;"23/5/2022";13;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"43155";"609";"MDMR";"MDMR";"24.85";"0.00";"302.92";"Retail Brokers Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"62920";"NULL";"SM609-15239";485246;5;"Walk in";"Germany";"38";"0.00";"2022";"11/9/2022";12;"11/9/2022";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2004";"609";"CFMR";"CFMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"VW";"Grey";"Walk In Rates";"IN";"NULL";"NULL"
"53513";"RES-398360";"SM712-19281";489817;4;"Sixt";"Germany";"28";"0.00";"2019";"21/9/2022";8;"20/9/2022";14;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"49211";"712";"CXAR";"CXAR";"51.04";"14.52";"291.01";"Retail-Sixt-Sixt";"Retail";0;"Audi";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"2579";"RES-364370";"SM701-19895";228208;7;"Sixt";"Italy";"48";"0.00";"2022";"1/8/2022";22;"5/7/2022";11;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"686";"701";"CXAR";"CXAR";"159.25";"0.00";"1550.89";"Retail-Sixt-Sixt";"Retail";2;"Audi";"Black";"Sixt Import Rates";"IN";"27.52";"121.60"
"50179";"RES-383061";"SM503-7974";472122;4;"NULL";"Romania";"41";"195.46";"2019";"17/8/2022";10;"16/8/2022";17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"72309";"503";"EDMR";"EDMR";"0.00";"0.00";"157.63";"Retail Brokers Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"62.16";"14.52"
"24908";"RES-348929";"SM503-4859";434966;5;"Sixt";"Montenegro";"44";"0.00";"2019";"2/6/2022";14;"1/6/2022";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"71042";"503";"EDMR";"MDMR";"0.00";"0.00";"178.68";"Retail Brokers Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"100.38";"25.00"
"25453";"RES-343664";"NULL";429660;6;"Sixt";"Sweden";"32";"0.00";"NULL";"30/7/2022";15;"24/5/2022";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"701";"CXAR";"CXAR";"0.00";"0.00";"813.13";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"42812";"RES-380227";"SM003-33957";468949;2;"Sixt";"France";"48";"0.00";"2019";"15/8/2022";8;"10/8/2022";17;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"55505";"3";"CCMR";"CCMR";"26.20";"7.22";"193.72";"Retail-Sixt-Sixt";"Retail";0;"Renault";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"60250";"RES-392381";"SM802-10923";482635;10;"NULL";"Germany";"28";"298.84";"2019";"29/9/2022";19;"6/9/2022";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39055";"802";"EDMR";"EDMR";"0.00";"0.00";"241.00";"Retail Brokers Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"29414";"RES-362987";"NULL";449747;10;"Sixt";"Blank";"46";"0.00";"NULL";"17/8/2022";9;"2/7/2022";12;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"312";"CDAR";"CDAR";"0.00";"36.30";"467.25";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"13790";"RES-332688";"SM002-77865";416163;15;"Sixt";"Germany";"26";"0.00";"2017";"2/7/2022";22;"21/4/2022";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"99900";"2";"EDAR";"EDAR";"0.00";"0.00";"1069.26";"Retail-Sixt-Sixt";"Retail";0;"VW";"Red";"Sixt Import Rates";"IN";"0.00";"0.00"
"18905";"RES-372578";"SM3MO-1531";423391;30;"Sixt";"Sweden";"55";"1057.47";"2021";"22/7/2022";14;"10/6/2022";17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"20921";"003-MO";"SFAR";"SFAR";"0.00";"0.00";"852.80";"Corporate-Sixt-Sixt";"Corporate";2;"Suzuki";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"50488";"RES-389112";"SM003-34750";478879;5;"Sixt";"Israel";"66";"0.00";"2022";"7/9/2022";10;"30/8/2022";13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"10764";"3";"CDAR";"EDAR";"0.00";"0.00";"199.55";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Sixt Import Rates";"IN";"58.75";"0.00"
"956";"RES-208858";"SM3MO-1432";178659;30;"Corporate";"Greece";"70";"0.00";"2021";"2/7/2022";15;"12/5/2020";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12117";"003-MO";"PFAR";"PFAH";"0.00";"0.00";"0.00";"Corporate-Sixt-Sixt";"Corporate";27;"Land Rover";"White";"Corporate 3";"IN";"0.00";"0.00"
"4648";"RES-331091";"SM701-18318";196617;5;"Sixt";"France";"40";"0.00";"2021";"18/6/2022";18;"15/4/2022";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"6501";"701";"EDMR";"EDMR";"0.00";"0.00";"309.01";"Retail-Sixt-Sixt";"Retail";0;"Opel";"Black";"Sixt Import Rates";"IN";"0.00";"15.10"
"16953";"RES-385602";"NULL";430004;11;"Online Broker";"Blank";"NULL";"313.74";"NULL";"6/9/2022";10;"22/8/2022";11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"3";"EDMR";"EDMR";"0.00";"0.00";"253.02";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"63350";"NULL";"SM701-22125";492478;2;"Walk in";"United States of America";"50";"0.00";"2019";"26/9/2022";9;"26/9/2022";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"28222";"701";"MDMR";"MDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Kia";"Red";"Walk In Rates";"IN";"NULL";"NULL"
"57328";"RES-391788";"SM312-19724";481946;14;"Sixt";"Romania";"36";"0.00";"2019";"11/9/2022";14;"4/9/2022";22;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;"71640";"312";"EDMR";"MDMR";"0.00";"50.82";"455.37";"Retail Brokers Sixt";"Retail";0;"Skoda";"Red";"Sixt Import Rates";"IN";"0.00";"66.94"
"54464";"RES-378558";"SM302-40460";466962;8;"NULL";"Cyprus";"60";"354.01";"2019";"17/9/2022";8;"6/8/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"56393";"302";"EDMR";"EDMR";"0.00";"0.00";"285.49";"Retail Brokers Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"60493";"RES-401047";"SM003-35331";492928;1;"Online Broker";"Greece";"49";"24.48";"2019";"27/9/2022";8;"26/9/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"61168";"3";"MDMR";"MDMR";"0.00";"0.00";"19.74";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"16.66";"0.00"
"8398";"RES-317429";"NULL";401668;11;"Sixt";"France";"61";"0.00";"NULL";"31/7/2022";20;"21/2/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"312";"SFAR";"SFAR";"0.00";"0.00";"1561.38";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"34816";"RES-359714";"NULL";446362;5;"Sixt";"Blank";"NULL";"0.00";"NULL";"17/7/2022";12;"24/6/2022";21;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"NULL";"302";"CXMR";"CXMR";"14.10";"0.00";"606.51";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"1374";"RES-397897";"SM302-41113";120609;5;"Corporate";"Greece";"54";"0.00";"2022";"26/9/2022";8;"19/9/2022";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2899";"302";"CDMR";"CDMR";"0.00";"0.00";"0.00";"";"NULL";14;"Fiat";"Blue";"Corporate rates 3 seasons";"IN";"44.34";"0.00"
"47820";"RES-382721";"SM112-3925";471740;5;"Sixt";"Germany";"48";"0.00";"2019";"7/9/2022";10;"16/8/2022";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"41381";"112";"EDMR";"EDMR";"0.00";"0.00";"271.72";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"52859";"RES-387219";"SM701-21393";476720;7;"Sixt";"France";"52";"0.00";"2019";"8/9/2022";12;"25/8/2022";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"64519";"701";"EXAR";"EXAR";"0.00";"0.00";"327.50";"Retail-Sixt-Sixt";"Retail";0;"MINI";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"32628";"RES-363996";"NULL";450870;2;"Sixt";"Blank";"41";"0.00";"NULL";"27/8/2022";12;"4/7/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"CTAR";"CTAR";"0.00";"0.00";"385.40";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"27498";"RES-359253";"SM002-76972";445846;3;"Sixt";"Canada";"54";"0.00";"2022";"24/6/2022";14;"23/6/2022";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2740";"2";"CXMR";"CXMR";"0.00";"0.00";"97.87";"Retail Brokers Sixt";"Retail";0;"Mercedes -Benz";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"45347";"RES-376128";"SM002-80910";464216;5;"Sixt";"Italy";"48";"0.00";"2019";"6/8/2022";9;"31/7/2022";16;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"22258";"2";"CTAR";"CTAR";"0.00";"18.15";"549.26";"Retail Brokers Sixt";"Retail";0;"Audi";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"7921";"RES-251992";"SM3MO-1665";325428;30;"NULL";"Greece";"68";"0.00";"2019";"6/9/2022";12;"6/5/2021";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"89500";"003-MO";"FFAR";"FFAR";"0.00";"0.00";"0.00";"Retail-Sixt-Sixt";"Retail";32;"BMW";"Grey";"Sixt Plus";"IN";"0.00";"0.00"
"53665";"RES-388495";"SM712-18642";478196;2;"Sixt";"United States of America";"43";"0.00";"2019";"29/8/2022";7;"29/8/2022";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"48273";"712";"MDAR";"MDAR";"0.00";"0.00";"175.73";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"39.25";"40.12"
"29164";"RES-352562";"NULL";438562;2;"Walk in";"Blank";"NULL";"0.00";"NULL";"2/7/2022";5;"9/6/2022";9;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"EDMR";"EDMR";"19.15";"0.00";"214.53";"Retail-Call center-Call center";"Retail";0;"NULL";"NULL";"Walk In Rates";"CNC";"0.00";"0.00"
"28141";"RES-352918";"NULL";438914;3;"Sixt";"Blank";"NULL";"0.00";"NULL";"2/7/2022";10;"10/6/2022";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"CCMR";"CCMR";"55.08";"0.00";"371.89";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"44781";"RES-377039";"NULL";465283;10;"Sixt";"Israel";"NULL";"0.00";"NULL";"26/9/2022";12;"2/8/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"302";"EDAR";"EDAR";"0.00";"0.00";"736.98";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"40382";"RES-364481";"SM503-6353";451286;2;"Sixt";"Greece";"50";"0.00";"2019";"9/7/2022";9;"5/7/2022";15;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"40459";"503";"IFMR";"MDMR";"21.44";"0.00";"132.02";"Retail-Sixt-Sixt";"Retail";0;"Mazda";"Black";"Sixt Import Rates";"IN";"7.10";"29.68"
"62287";"RES-355066";"SM609-12273";441313;1;"Sixt";"Israel";"23";"0.00";"2019";"15/6/2022";10;"14/6/2022";22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"28084";"609";"EDMR";"EDMR";"0.00";"0.00";"46.91";"Retail Brokers Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"21318";"RES-363388";"NULL";434481;29;"Sixt";"France";"48";"0.00";"NULL";"24/7/2022";12;"3/7/2022";15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"EDMR";"EDMR";"0.00";"54.46";"2337.85";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"29993";"RES-359862";"NULL";446529;6;"Sixt";"Israel";"NULL";"0.00";"NULL";"29/8/2022";12;"25/6/2022";12;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"NULL";"508";"PSAR";"PSAR";"80.64";"21.78";"1334.12";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"52183";"RES-386926";"NULL";476378;5;"Sixt";"United States of America";"NULL";"0.00";"NULL";"29/9/2022";11;"25/8/2022";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"712";"EDMR";"EDMR";"0.00";"0.00";"140.23";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"45261";"RES-376274";"SM312-19643";464381;9;"Sixt";"Germany";"44";"0.00";"2022";"9/9/2022";15;"1/8/2022";0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;"7218";"312";"IFAR";"IFAR";"194.22";"135.78";"1024.61";"Retail-Sixt-Sixt";"Retail";0;"Jeep";"White";"Sixt Import Rates";"IN";"35.93";"0.00"
"60661";"RES-400833";"SM002-85724";492693;3;"Sixt";"Germany";"54";"0.00";"2022";"29/9/2022";17;"26/9/2022";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4215";"2";"CDMR";"CCMR";"0.00";"0.00";"56.47";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"6011";"RES-364369";"SM002-78083";366759;6;"Sixt";"United Kingdom";"63";"0.00";"2019";"5/7/2022";13;"5/7/2022";11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"67912";"2";"FFAR";"FFAR";"147.90";"0.00";"921.89";"Retail-Sixt-Sixt";"Retail";1;"BMW";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"26934";"RES-348228";"SM003-31421";434256;2;"NULL";"Greece";"28";"0.00";"2021";"4/6/2022";10;"31/5/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"29720";"3";"CDMR";"CCMR";"0.00";"0.00";"26.52";"Retail-Call center-Call center";"Retail";0;"Skoda";"White";"MOTODYNAMCS STAFF";"IN";"0.00";"43.21"
"8835";"RES-374933";"SM002-80634";330717;1;"Sixt";"Netherlands";"46";"0.00";"2019";"2/8/2022";2;"28/7/2022";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"39739";"2";"MDMR";"MDMR";"0.00";"0.00";"141.59";"Retail-Sixt-Sixt";"Retail";10;"Fiat";"White";"Sixt Import Rates";"IN";"21.45";"3.63"
"2072";"RES-364329";"NULL";160000;11;"Sixt";"Switzerland";"33";"0.00";"NULL";"13/6/2022";16;"5/7/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"CDMR";"CDMR";"0.00";"0.00";"232.53";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"66150";"NULL";"SM302-37531";453367;20;"Walk in";"France";"51";"0.00";"2022";"29/7/2022";10;"29/7/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2252";"302";"MTMR";"MTMR";"0.00";"0.00";"0.00";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Walk In Rates";"IN";"NULL";"NULL"
"19684";"RES-349166";"NULL";435128;7;"Sixt";"United States of America";"46";"0.00";"NULL";"13/6/2022";9;"1/6/2022";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"312";"EDMR";"EDMR";"0.00";"0.00";"264.72";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"4591";"RES-354791";"SM701-18231";329763;15;"Travel Corporate Agencies";"Greece";"43";"305.55";"2019";"16/6/2022";9;"14/6/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"36195";"701";"MDMR";"MDMR";"0.00";"0.00";"246.41";"Retail-Call center-Call center";"Retail";10;"Peugeot";"White";"Economy Travel Market rates ";"IN";"0.00";"0.00"
"30072";"RES-359874";"NULL";446551;3;"Sixt";"Czech Republic";"46";"0.00";"NULL";"6/7/2022";9;"25/6/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"609";"MTMR";"MTMR";"0.00";"0.00";"284.34";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"1304";"RES-356997";"SM002-76724";146164;1;"Sixt";"Germany";"58";"0.00";"2019";"22/6/2022";13;"19/6/2022";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"70952";"2";"CXAR";"CCMR";"0.00";"0.00";"33.86";"Retail-Sixt-Sixt";"Retail";8;"Mercedes -Benz";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"3853";"RES-391113";"SM302-40971";207290;20;"Sixt";"Germany";"59";"0.00";"2019";"24/9/2022";15;"3/9/2022";11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"42202";"302";"EDMR";"EDMR";"79.60";"0.00";"717.83";"Retail Brokers Sixt";"Retail";3;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"29434";"RES-363187";"SM302-36234";449996;7;"Sixt";"Israel";"50";"0.00";"2022";"4/7/2022";21;"2/7/2022";21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"3891";"302";"CFAR";"CFAR";"0.00";"0.00";"531.50";"Retail Brokers Sixt";"Retail";0;"Opel";"Grey";"Sixt Import Rates";"IN";"108.69";"44.94"
"36667";"RES-355603";"NULL";441885;10;"Sixt";"France";"NULL";"0.00";"NULL";"6/8/2022";15;"16/6/2022";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"701";"EDMR";"EDMR";"0.00";"36.30";"1049.17";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"36064";"RES-367829";"SM003-34101";454927;7;"Sixt";"France";"34";"0.00";"2019";"19/8/2022";9;"11/7/2022";22;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;"61414";"3";"CCMR";"CCMR";"0.00";"25.41";"644.30";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Silver";"Sixt Import Rates";"IN";"77.69";"0.00"
