"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"8452";"RES-311931";"SM312-18312";396957;19;"Online Broker";"United Kingdom";"51";"2043.63";"2019";"31/7/2022";13;"17/1/2022";19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39103";"312";"SDMR";"SDMR";"0.00";"0.00";"1648.09";"Retail Brokers Sixt";"Retail";0;"Skoda";"White";"Sixt Import Rates";"IN";"0.00";"137.38"
"10794";"RES-390570";"NULL";391538;3;"Walk in";"Greece";"38";"0.00";"NULL";"7/9/2022";9;"2/9/2022";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"PJAH";"PJAH";"0.00";"0.00";"0.00";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Walk In Rates";"CNC";"0.00";"0.00"
"18001";"RES-347721";"SM003-33646";433773;9;"Sixt";"Austria";"30";"0.00";"2022";"6/8/2022";12;"30/5/2022";20;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"3242";"3";"MDMR";"MDMR";"0.00";"32.67";"797.66";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Sixt Import Rates";"IN";"99.88";"0.00"
"34749";"RES-361321";"NULL";447957;3;"Sixt";"Qatar";"NULL";"0.00";"NULL";"4/7/2022";12;"28/6/2022";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"701";"ETAR";"ETAR";"0.00";"0.00";"530.02";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"7299";"RES-380434";"SM302-38804";371888;7;"Sixt";"France";"35";"0.00";"2022";"20/8/2022";14;"11/8/2022";8;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"6032";"302";"EDMR";"EDMR";"91.84";"0.00";"417.08";"Retail-Sixt-Sixt";"Retail";1;"Opel";"White";"Sixt Import Rates";"IN";"0.00";"86.29"
"51238";"RES-383889";"SM609-14646";473047;6;"Sixt";"United Kingdom";"33";"0.00";"2019";"27/8/2022";0;"18/8/2022";13;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"30897";"609";"MDAR";"MDAR";"16.92";"21.78";"403.48";"Retail-Sixt-Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"48133";"RES-377567";"SM712-18872";465822;1;"NULL";"United States of America";"59";"79.07";"2022";"7/9/2022";9;"3/8/2022";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1827";"712";"CFAR";"MDAR";"0.00";"0.00";"63.77";"Retail Brokers Sixt";"Retail";1;"Opel";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"25114";"RES-343338";"SM002-79832";429419;12;"Sixt";"United States of America";"62";"0.00";"2018";"23/7/2022";16;"24/5/2022";20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;"27192";"2";"SXAR";"SXAR";"0.00";"171.53";"2080.45";"Retail-Sixt-Sixt";"Retail";0;"Audi";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"27397";"RES-359357";"SM712-16825";445953;3;"Sixt";"France";"30";"0.00";"2018";"25/6/2022";11;"24/6/2022";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"50484";"712";"MDMR";"MDMR";"28.71";"0.00";"179.73";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"10.59";"0.00"
"21810";"RES-344652";"SM609-14160";430547;1;"Sixt";"France";"46";"0.00";"2018";"13/8/2022";12;"25/5/2022";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"52599";"609";"MDMR";"MDMR";"0.00";"0.00";"70.27";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"12.34";"0.00"
"45137";"RES-384042";"SM312-19337";463942;6;"Sixt";"United States of America";"72";"0.00";"2021";"31/8/2022";14;"18/8/2022";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"21754";"312";"IFMR";"IFMR";"0.00";"0.00";"440.29";"Retail Brokers Sixt";"Retail";1;"Skoda";"White";"Sixt Import Rates";"IN";"114.20";"36.95"
"4264";"RES-337002";"SM712-17176";116227;2;"Corporate";"Greece";"52";"0.00";"2019";"7/7/2022";15;"16/5/2022";10;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;"44344";"712";"EDMR";"EDMR";"21.66";"0.00";"98.22";"Corporate-Call center-Call center";"Corporate";24;"Opel";"Grey";"Pierre Fabre Hellas Rates";"IN";"0.00";"0.00"
"45878";"RES-379577";"NULL";468190;36;"Sixt";"Blank";"NULL";"0.00";"NULL";"22/8/2022";15;"9/8/2022";8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"CXMR";"CXMR";"0.00";"0.00";"1876.06";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"48496";"RES-385294";"SM802-10338";474655;1;"Sixt";"Israel";"32";"0.00";"2019";"29/8/2022";10;"21/8/2022";18;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;"24234";"802";"EDMR";"EDMR";"9.57";"7.26";"82.24";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"3.53";"0.00"
"38014";"RES-376639";"SM609-13929";464818;10;"Sixt";"Czech Republic";"37";"0.00";"2019";"6/8/2022";18;"1/8/2022";22;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;"40871";"609";"MDMR";"MDMR";"35.50";"36.30";"664.85";"Retail-Sixt-Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"49698";"RES-384150";"SM302-40578";473318;10;"Sixt";"Switzerland";"39";"0.00";"2019";"18/9/2022";11;"18/8/2022";22;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"39010";"302";"CDMR";"CDMR";"223.70";"0.00";"673.48";"Retail-Sixt-Sixt";"Retail";0;"Kia";"Black";"Sixt Import Rates";"IN";"0.00";"93.27"
"42609";"RES-376404";"SM003-33888";465143;4;"Sixt";"Cyprus";"32";"0.00";"2019";"13/8/2022";10;"1/8/2022";11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"64400";"3";"CCAR";"EDAR";"0.00";"0.00";"320.65";"Retail-Sixt-Sixt";"Retail";0;"Mazda";"Red";"Sixt Import Rates";"IN";"44.38";"0.00"
"48071";"RES-375991";"SM721-432";464024;3;"Sixt";"Spain";"63";"0.00";"2019";"2/8/2022";11;"31/7/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"38132";"721";"MDMR";"MDMR";"0.00";"0.00";"265.15";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"36.83";"0.00"
"14331";"RES-337607";"NULL";423654;10;"Walk in";"Blank";"NULL";"0.00";"NULL";"30/7/2022";21;"19/5/2022";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"SXAR";"SXAR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"NULL";"NULL";"Walk In Rates";"CNC";"0.00";"0.00"
"24239";"RES-347762";"SM503-6462";433816;7;"Sixt";"Belgium";"34";"0.00";"2019";"11/7/2022";10;"30/5/2022";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"53686";"503";"MDMR";"MDMR";"0.00";"0.00";"369.67";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"86.37";"0.00"
"65737";"NULL";"SM611-3507";460540;7;"Walk in";"United Kingdom";"28";"0.00";"2019";"23/7/2022";14;"23/7/2022";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"34905";"611";"CCMR";"CCMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Renault";"White";"Walk In Rates";"IN";"NULL";"NULL"
"40944";"RES-379285";"SM302-40509";467868;8;"Sixt";"United States of America";"31";"0.00";"2019";"17/9/2022";17;"8/8/2022";15;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"46105";"302";"EDMR";"EDMR";"104.96";"0.00";"432.22";"Retail-Sixt-Sixt";"Retail";0;"Opel";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"15336";"RES-340047";"SM002-81230";426505;12;"NULL";"Israel";"43";"1903.89";"2021";"9/8/2022";23;"23/5/2022";13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"10325";"2";"SFAR";"SFMR";"0.00";"43.56";"1655.16";"Retail Brokers Sixt";"Retail";0;"Kia";"Black";"Sixt Import Rates";"IN";"520.61";"0.00"
"56537";"RES-398817";"SM503-9623";490303;4;"Travel Corporate Agencies";"Greece";"28";"133.71";"2019";"27/9/2022";8;"21/9/2022";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"53189";"503";"MDMR";"EDMR";"0.00";"0.00";"107.83";"Retail-Call center-Call center";"Retail";0;"Fiat";"White";"Economy Travel Market rates ";"IN";"0.00";"0.00"
"25220";"RES-343427";"SM503-7245";429472;3;"Sixt";"Germany";"32";"0.00";"2018";"28/7/2022";18;"24/5/2022";20;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"66015";"503";"MDMR";"MDMR";"0.00";"10.89";"321.71";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"19.11";"0.00"
"38622";"RES-372297";"SM003-33140";459786;3;"Sixt";"Italy";"38";"0.00";"2019";"22/7/2022";12;"21/7/2022";18;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"55863";"3";"MDMR";"MDMR";"28.71";"0.00";"224.32";"Retail-Sixt-Sixt";"Retail";0;"Kia";"Blue";"Sixt Import Rates";"IN";"0.00";"10.83"
